,train,val,test
0,normal_004,normal_043,test_123
1,normal_005,test_039,normal_002
2,normal_006,test_045,normal_152
3,normal_007,test_088,normal_056
4,normal_008,normal_079,normal_001
5,normal_009,normal_080,normal_025
6,normal_010,normal_090,normal_117
7,normal_011,normal_132,normal_003
8,normal_012,normal_098,normal_035
9,normal_013,test_012,normal_147
10,normal_014,normal_058,test_044
11,normal_015,test_014,test_124
12,normal_016,normal_139,normal_158
13,normal_017,normal_085,test_015
14,normal_018,test_055,test_080
15,normal_019,normal_055,normal_130
16,normal_020,test_077,test_036
17,normal_021,normal_113,test_101
18,normal_022,normal_042,test_023
19,normal_023,normal_116,test_035
20,normal_024,normal_084,normal_053
21,normal_026,test_037,normal_123
22,normal_027,test_125,normal_154
23,normal_028,normal_120,test_096
24,normal_029,tumor_050,tumor_096
25,normal_030,tumor_011,test_068
26,normal_031,tumor_095,tumor_102
27,normal_032,tumor_108,tumor_080
28,normal_033,test_073,test_008
29,normal_034,tumor_060,test_116
30,normal_036,tumor_071,tumor_087
31,normal_037,tumor_022,tumor_033
32,normal_038,tumor_019,tumor_005
33,normal_039,test_066,tumor_070
34,normal_040,test_110,tumor_051
35,normal_041,tumor_099,test_011
36,normal_044,tumor_104,tumor_106
37,normal_045,test_061,tumor_046
38,normal_046,test_027,test_084
39,normal_047,tumor_024,test_065
40,normal_048,,
41,normal_049,,
42,normal_050,,
43,normal_051,,
44,normal_052,,
45,normal_054,,
46,normal_057,,
47,normal_059,,
48,normal_060,,
49,normal_061,,
50,normal_062,,
51,normal_063,,
52,normal_064,,
53,normal_065,,
54,normal_066,,
55,normal_067,,
56,normal_068,,
57,normal_069,,
58,normal_070,,
59,normal_071,,
60,normal_072,,
61,normal_073,,
62,normal_074,,
63,normal_075,,
64,normal_076,,
65,normal_077,,
66,normal_078,,
67,normal_081,,
68,normal_082,,
69,normal_083,,
70,normal_087,,
71,normal_088,,
72,normal_089,,
73,normal_091,,
74,normal_092,,
75,normal_093,,
76,normal_094,,
77,normal_095,,
78,normal_096,,
79,normal_097,,
80,normal_099,,
81,normal_100,,
82,normal_101,,
83,normal_102,,
84,normal_103,,
85,normal_104,,
86,normal_105,,
87,normal_106,,
88,normal_107,,
89,normal_108,,
90,normal_109,,
91,normal_110,,
92,normal_111,,
93,normal_112,,
94,normal_114,,
95,normal_115,,
96,normal_118,,
97,normal_119,,
98,normal_121,,
99,normal_122,,
100,normal_124,,
101,normal_125,,
102,normal_126,,
103,normal_127,,
104,normal_128,,
105,normal_129,,
106,normal_131,,
107,normal_133,,
108,normal_134,,
109,normal_135,,
110,normal_136,,
111,normal_137,,
112,normal_138,,
113,normal_140,,
114,normal_141,,
115,normal_142,,
116,normal_143,,
117,normal_144,,
118,normal_145,,
119,normal_146,,
120,normal_148,,
121,normal_149,,
122,normal_150,,
123,normal_151,,
124,normal_153,,
125,normal_155,,
126,normal_156,,
127,normal_157,,
128,normal_159,,
129,normal_160,,
130,test_003,,
131,test_005,,
132,test_006,,
133,test_007,,
134,test_009,,
135,test_017,,
136,test_018,,
137,test_019,,
138,test_020,,
139,test_022,,
140,test_024,,
141,test_025,,
142,test_028,,
143,test_031,,
144,test_032,,
145,test_034,,
146,test_041,,
147,test_042,,
148,test_043,,
149,test_047,,
150,test_050,,
151,test_053,,
152,test_054,,
153,test_056,,
154,test_057,,
155,test_058,,
156,test_059,,
157,test_060,,
158,test_062,,
159,test_063,,
160,test_067,,
161,test_070,,
162,test_072,,
163,test_076,,
164,test_078,,
165,test_081,,
166,test_083,,
167,test_085,,
168,test_086,,
169,test_087,,
170,test_089,,
171,test_091,,
172,test_093,,
173,test_095,,
174,test_098,,
175,test_100,,
176,test_103,,
177,test_106,,
178,test_107,,
179,test_109,,
180,test_111,,
181,test_112,,
182,test_115,,
183,test_118,,
184,test_119,,
185,test_120,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_002,,
193,test_004,,
194,test_010,,
195,test_013,,
196,test_016,,
197,test_021,,
198,test_026,,
199,test_029,,
200,test_030,,
201,test_033,,
202,test_038,,
203,test_040,,
204,test_046,,
205,test_048,,
206,test_051,,
207,test_052,,
208,test_064,,
209,test_069,,
210,test_071,,
211,test_074,,
212,test_075,,
213,test_079,,
214,test_082,,
215,test_090,,
216,test_092,,
217,test_094,,
218,test_097,,
219,test_099,,
220,test_102,,
221,test_104,,
222,test_105,,
223,test_108,,
224,test_113,,
225,test_114,,
226,test_117,,
227,test_121,,
228,test_122,,
229,tumor_001,,
230,tumor_002,,
231,tumor_003,,
232,tumor_004,,
233,tumor_006,,
234,tumor_007,,
235,tumor_008,,
236,tumor_009,,
237,tumor_010,,
238,tumor_012,,
239,tumor_013,,
240,tumor_014,,
241,tumor_015,,
242,tumor_016,,
243,tumor_017,,
244,tumor_018,,
245,tumor_020,,
246,tumor_021,,
247,tumor_023,,
248,tumor_025,,
249,tumor_026,,
250,tumor_027,,
251,tumor_028,,
252,tumor_029,,
253,tumor_030,,
254,tumor_031,,
255,tumor_032,,
256,tumor_034,,
257,tumor_035,,
258,tumor_036,,
259,tumor_037,,
260,tumor_038,,
261,tumor_039,,
262,tumor_040,,
263,tumor_041,,
264,tumor_042,,
265,tumor_043,,
266,tumor_044,,
267,tumor_045,,
268,tumor_047,,
269,tumor_048,,
270,tumor_049,,
271,tumor_052,,
272,tumor_053,,
273,tumor_054,,
274,tumor_055,,
275,tumor_056,,
276,tumor_057,,
277,tumor_058,,
278,tumor_059,,
279,tumor_061,,
280,tumor_062,,
281,tumor_063,,
282,tumor_064,,
283,tumor_065,,
284,tumor_066,,
285,tumor_067,,
286,tumor_068,,
287,tumor_069,,
288,tumor_072,,
289,tumor_073,,
290,tumor_074,,
291,tumor_075,,
292,tumor_076,,
293,tumor_077,,
294,tumor_078,,
295,tumor_079,,
296,tumor_081,,
297,tumor_082,,
298,tumor_083,,
299,tumor_084,,
300,tumor_085,,
301,tumor_086,,
302,tumor_088,,
303,tumor_089,,
304,tumor_090,,
305,tumor_091,,
306,tumor_092,,
307,tumor_093,,
308,tumor_094,,
309,tumor_097,,
310,tumor_098,,
311,tumor_100,,
312,tumor_101,,
313,tumor_103,,
314,tumor_105,,
315,tumor_107,,
316,tumor_109,,
317,tumor_110,,
318,tumor_111,,
