,train,val,test
0,test_002,test_001,test_026
1,test_003,test_019,test_030
2,test_004,test_025,test_033
3,test_005,test_038,test_036
4,test_006,test_056,test_044
5,test_007,test_061,test_046
6,test_008,test_066,test_050
7,test_009,test_069,test_052
8,test_010,test_071,test_063
9,test_011,test_081,test_070
10,test_012,test_089,test_085
11,test_013,test_091,test_086
12,test_014,test_094,test_087
13,test_015,test_098,test_119
14,test_016,test_123,test_126
15,test_017,test_125,normal_006
16,test_018,test_128,normal_007
17,test_020,normal_005,normal_017
18,test_021,normal_028,normal_022
19,test_022,normal_035,normal_027
20,test_023,normal_045,normal_034
21,test_024,normal_070,normal_038
22,test_027,normal_090,normal_052
23,test_028,normal_095,normal_055
24,test_029,normal_097,normal_061
25,test_031,normal_101,normal_107
26,test_032,normal_109,normal_123
27,test_034,normal_112,normal_138
28,test_035,normal_116,normal_151
29,test_037,normal_119,tumor_004
30,test_039,normal_125,tumor_009
31,test_040,tumor_001,tumor_012
32,test_041,tumor_017,tumor_015
33,test_042,tumor_020,tumor_026
34,test_043,tumor_025,tumor_032
35,test_045,tumor_056,tumor_033
36,test_047,tumor_071,tumor_040
37,test_048,tumor_075,tumor_042
38,test_051,tumor_089,tumor_068
39,test_053,tumor_103,tumor_095
40,test_054,,
41,test_055,,
42,test_057,,
43,test_058,,
44,test_059,,
45,test_060,,
46,test_062,,
47,test_064,,
48,test_065,,
49,test_067,,
50,test_068,,
51,test_072,,
52,test_073,,
53,test_074,,
54,test_075,,
55,test_076,,
56,test_077,,
57,test_078,,
58,test_079,,
59,test_080,,
60,test_082,,
61,test_083,,
62,test_084,,
63,test_088,,
64,test_090,,
65,test_092,,
66,test_093,,
67,test_095,,
68,test_096,,
69,test_097,,
70,test_099,,
71,test_100,,
72,test_101,,
73,test_102,,
74,test_103,,
75,test_104,,
76,test_105,,
77,test_106,,
78,test_107,,
79,test_108,,
80,test_109,,
81,test_110,,
82,test_111,,
83,test_112,,
84,test_113,,
85,test_114,,
86,test_115,,
87,test_116,,
88,test_117,,
89,test_118,,
90,test_120,,
91,test_121,,
92,test_122,,
93,test_124,,
94,test_127,,
95,test_129,,
96,test_130,,
97,normal_001,,
98,normal_002,,
99,normal_003,,
100,normal_004,,
101,normal_008,,
102,normal_009,,
103,normal_010,,
104,normal_011,,
105,normal_012,,
106,normal_013,,
107,normal_014,,
108,normal_015,,
109,normal_016,,
110,normal_018,,
111,normal_019,,
112,normal_020,,
113,normal_021,,
114,normal_023,,
115,normal_024,,
116,normal_025,,
117,normal_026,,
118,normal_029,,
119,normal_030,,
120,normal_031,,
121,normal_032,,
122,normal_033,,
123,normal_036,,
124,normal_037,,
125,normal_039,,
126,normal_040,,
127,normal_041,,
128,normal_042,,
129,normal_043,,
130,normal_044,,
131,normal_046,,
132,normal_047,,
133,normal_048,,
134,normal_049,,
135,normal_050,,
136,normal_051,,
137,normal_053,,
138,normal_054,,
139,normal_056,,
140,normal_057,,
141,normal_058,,
142,normal_059,,
143,normal_060,,
144,normal_062,,
145,normal_063,,
